[2024-03-10 20:27:00,288][pytorch_lightning.utilities.rank_zero][INFO] - `Trainer.fit` stopped: `max_steps=5` reached.
[2024-03-10 22:02:50,571][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp0kb6a43m
[2024-03-10 22:02:50,572][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp0kb6a43m/_remote_module_non_scriptable.py
[2024-03-10 22:02:50,637][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp7819zj3c
[2024-03-10 22:02:50,637][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp7819zj3c/_remote_module_non_scriptable.py
[2024-03-10 22:02:50,675][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpdvcik6be
[2024-03-10 22:02:50,675][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpdvcik6be/_remote_module_non_scriptable.py
[2024-03-10 22:02:50,680][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpl101l7gl
[2024-03-10 22:02:50,680][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpl101l7gl/_remote_module_non_scriptable.py
[2024-03-10 22:02:50,683][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp6zm01dz3
[2024-03-10 22:02:50,684][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp6zm01dz3/_remote_module_non_scriptable.py
[2024-03-10 22:02:50,791][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmprjgon0ij
[2024-03-10 22:02:50,792][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmprjgon0ij/_remote_module_non_scriptable.py
[2024-03-10 22:02:51,075][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpcodpj9yc
[2024-03-10 22:02:51,076][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpcodpj9yc/_remote_module_non_scriptable.py
